"","x"
"delineated",1
"delineates",1
"delineation",1
"delinquent",2
"delirious",4
"deliriously",1
"delirium",2
"deliver",10
"deliverance",3
"delivered",16
"delivering",4
"delivery",1
"dells",4
"deluded",2
"deluding",1
"delusion",5
"delusions",1
"delve",1
"delving",1
"demand",15
"demanded",14
"demanding",2
"demands",9
"demarcation",1
"demeanor",2
"demeanour",1
"demerits",1
"demijohn",3
"demise",1
"democracy",1
"democratic",3
"democratical",3
"demolish",1
"demolished",2
"demons",2
"demonstrate",3
"demonstrated",4
"demonstrates",1
"demonstrating",2
"demonstration",5
"demonstrations",1
"demonstrative",2
"demoralized",1
"demoralizing",1
"demur",4
"demurely",2
"demurred",1
"deniable",1
"denial",8
"denials",1
"denied",9
"denies",4
"denizen",2
"denominate",1
"denominated",1
"denominates",2
"denomination",6
"denote",4
"denoted",1
"denotes",3
"denounce",1
"denounced",3
"dens",3
"dense",10
"denser",1
"dental",1
"dented",1
"dentists",1
"dents",3
"denying",6
"dep",1
"depart",18
"departed",21
"departing",6
"department",13
"departments",2
"departs",4
"departure",37
"depend",25
"dependance",3
"dependant",4
"depended",13
"dependence",8
"dependency",2
"dependent",7
"depending",1
"depends",19
"depicted",3
"depicts",1
"depleted",2
"deplorable",1
"deplorably",1
"deplore",3
"deplored",1
"deploy",1
"deployed",2
"deport",2
"deportment",3
"deposit",8
"deposited",16
"depositing",2
"depositions",1
"deposits",2
"depot",15
"depraved",2
"depravity",2
"deprecate",1
"deprecatingly",1
"depreciates",1
"depreciating",1
"depredation",2
"depredations",6
"depress",2
"depressed",3
"depressing",6
"depressions",1
"deprive",3
"deprived",7
"depriving",1
"depth",11
"depths",29
"depute",1
"deputed",3
"deputies",2
"deputy",11
"derangement",1
"derate",2
"deration",1
"derham",2
"deride",1
"derided",1
"deriding",1
"derision",1
"derisive",1
"deriv",1
"derivatives",1
"derive",8
"derived",13
"derives",12
"derogatory",1
"descanted",1
"descend",9
"descended",15
"descending",2
"descends",5
"descent",7
"describe",28
"described",52
"describes",6
"describing",9
"descried",1
"description",35
"descriptions",9
"descriptive",3
"desert",36
"deserted",24
"deserting",3
"deserts",2
"deserve",25
"deserved",8
"deservedly",1
"deserves",9
"deserving",8
"design",20
"designate",1
"designed",9
"designing",1
"designs",16
"desirable",7
"desirableness",1
"desire",73
"desired",32
"desires",28
"desiring",6
"desirous",5
"desist",1
"desisted",2
"desk",25
"desks",2
"desolate",12
"desolated",1
"desolation",7
"despair",38
"despaired",1
"despairing",12
"despairingly",2
"despatch",5
"despatches",1
"desperate",20
"desperately",12
"desperation",1
"despicable",4
"despise",9
"despised",8
"despises",3
"despising",1
"despite",39
"despoiler",1
"despond",1
"despondency",2
"despondently",1
"despotic",4
"despotism",3
"dessert",4
"destination",6
"destine",1
"destined",18
"destinies",2
"destitute",7
"destitution",1
"destroy",28
"destroyed",20
"destroyer",6
"destroying",7
"destroys",3
"destruction",9
"destructive",3
"desultory",1
"detached",6
"detaching",1
"detachment",1
"detachments",2
"detail",17
"detailed",6
"details",16
"detain",7
"detained",6
"detaining",4
"detect",3
"detected",4
"detection",1
"detective",8
"detectives",3
"deter",10
"deteriorated",1
"deterioration",1
"determination",10
"determine",18
"determined",57
"determines",1
"determining",1
"detest",3
"detestable",4
"detestation",1
"detested",3
"detests",2
"detractors",1
"deuce",5
"deuces",1
"devas",1
"devastation",1
"develop",8
"developed",11
"developer",1
"developing",2
"development",3
"develops",1
"deviating",1
"deviation",1
"deviations",2
"device",2
"devices",2
"devilish",2
"devils",5
"devise",3
"devised",8
"devising",1
"devoid",1
"devolved",3
"devolves",1
"devote",4
"devoted",25
"devotedly",2
"devotee",3
"devotees",3
"devoting",2
"devotion",32
"devotional",1
"devotions",2
"devour",6
"devoured",5
"devouring",4
"devours",1
"devout",10
"devoutly",1
"dewater",1
"dewdrops",2
"dewing",1
"dewlap",1
"dews",2
"dewy",7
"dexterity",7
"dexterous",1
"dexterously",1
"dextrous",1
"dextrously",1
"diabolic",1
"diabolical",2
"diadem",1
"diagram",1
"dialect",2
"dialogue",2
"diameter",14
"diamonds",12
"diaphragm",3
"diaphragms",1
"diary",11
"diced",2
"dices",1
"dictate",1
"dictated",4
"dictates",8
"dictatorial",1
"diction",2
"dictionaries",1
"dictionary",1
"dictions",2
"didactically",1
"didn",63
"died",95
"diem",1
"dier",1
"dieting",1
"diff",4
"differ",35
"differed",1
"difference",62
"differences",16
"different",243
"differently",8
"differing",4
"differs",14
"difficult",39
"difficulties",12
"difficultly",1
"difficulty",41
"diffidence",7
"diffuse",1
"diffused",5
"diffuses",1
"diffusing",1
"diffusion",1
"diffusive",1
"dig",9
"digested",5
"digestible",1
"digestion",2
"digging",5
"diggings",1
"dignation",1
"dignified",19
"dignitary",1
"dignities",2
"dignity",30
"dilapidated",3
"dilapidation",1
"dilate",2
"dilated",8
"dilates",1
"dilemma",3
"dilettante",1
"diligence",7
"diligent",2
"diligently",2
"dilli",4
"dills",1
"diluted",2
"dime",7
"dimension",1
"dimensions",9
"dimes",2
"diminished",5
"diminishing",2
"diminutive",4
"dimly",2
"dimmed",2
"dimmest",1
"dimming",1
"dimple",1
"dimpled",13
"dimples",3
"dimpling",3
"dined",4
"diners",1
"ding",16
"dinged",2
"dings",2
"dingy",5
"dining",40
"dinks",3
"dinner",153
"dinners",2
"dint",2
"diol",1
"diploma",2
"diplomacy",5
"diplomas",2
"diplomat",1
"diplomatic",1
"diplomatically",1
"dipped",14
"dipper",4
"dipping",2
"dipt",2
"direcly",1
"direct",21
"directed",25
"directing",2
"direction",72
"directions",15
"directly",37
"directness",2
"director",6
"directors",2
"directress",2
"directs",4
"direful",1
"direst",1
"dirges",1
"dirty",14
"disable",2
"disabuse",1
"disadvantageous",1
"disadvantages",2
"disagree",1
"disagreeable",16
"disagreed",1
"disappear",3
"disappearance",7
"disappeared",30
"disappearing",3
"disappears",2
"disappoint",7
"disappointed",24
"disappointing",1
"disappointment",18
"disappointments",3
"disappoints",1
"disapprobation",1
"disapproval",1
"disapprove",3
"disarmed",1
"disaster",1
"disasters",1
"disastrous",2
"disavow",1
"disbandment",1
"disbelief",1
"disbelieve",5
"disbelieved",1
"disbelieving",1
"discarding",1
"discern",5
"discernable",1
"discerned",1
"discernible",4
"discerning",3
"discernment",3
"discerns",1
"discharge",18
"discharged",10
"discharges",1
"discharging",3
"disciples",4
"discipline",3
"disclaim",2
"disclaimer",1
"disclose",2
"disclosed",1
"disclosing",2
"disco",2
"discolour",2
"discomfit",1
"discomfited",1
"discomfiture",2
"discomfort",3
"discomforts",2
"discomposed",1
"disconcerted",2
"disconcerting",1
"disconsolate",4
"discontent",3
"discontented",2
"discontinue",1
"discontinued",1
"discord",2
"discordant",1
"discordantly",2
"discount",2
"discourage",2
"discouraged",5
"discouragement",1
"discouraging",1
"discourse",13
"discoursed",1
"discourses",8
"discover",27
"discoverable",1
"discovered",57
"discoveries",2
"discovering",5
"discovers",6
"discovery",24
"discredit",2
"discreet",3
"discretion",12
"discriminate",2
"discriminated",2
"discriminating",1
"discrimination",1
"discuss",12
"discussed",14
"discusses",1
"discussing",3
"discussion",12
"discussions",1
"disdain",2
"disdained",1
"disdaining",1
"disease",33
"diseased",4
"diseases",12
"disenchanting",1
"disengage",1
"disengaged",2
"disentangle",1
"disentangling",1
"disfigured",4
"disgrace",15
"disgraced",1
"disgraces",1
"disgracing",1
"disguise",2
"disguised",5
"disgust",13
"disgusted",5
"disgustful",1
"disgusting",2
"dish",251
"disheart",1
"dished",2
"disher",1
"dishes",27
"dishonest",1
"dishonestly",1
"dishonesty",1
"dishonor",1
"dishonorable",1
"dishonored",1
"dishonour",3
"dishwashers",1
"disillusion",1
"disillusions",1
"disingenuous",1
"disinherit",1
"disinterested",3
"disinterred",1
"disjoin",1
"disk",3
"dislike",12
"disliked",4
"disliking",2
"dislocated",1
"dislodged",1
"disloyalty",2
"dismal",11
"dismally",1
"dismay",13
"dismiss",3
"dismissed",13
"dismissing",1
"dismount",1
"dismounted",5
"dismounting",2
"disobedient",1
"disobey",4
"disobeyed",1
"disoblige",2
"disorder",13
"disordered",2
"disorderly",2
"disorders",9
"dispair",1
"disparagement",1
"disparaging",2
"dispassionate",2
"dispassionately",1
"dispatch",4
"dispatched",4
"dispatches",2
"dispel",3
"dispelled",6
"dispensable",1
"dispensation",2
"dispense",1
"dispensed",3
"dispensing",1
"disperse",3
"dispersed",4
"display",16
"displayed",6
"displaying",7
"displays",6
"displease",1
"displeased",2
"displeasing",3
"displeasure",6
"disposal",4
"dispose",7
"disposed",27
"disposes",1
"disposing",1
"disposition",33
"dispositions",5
"disproof",1
"disprove",2
"disputations",1
"dispute",14
"disputes",3
"disquiet",2
"disquieted",2
"disquisitions",2
"disregard",1
"disregarded",1
"disregarding",1
"disrelish",1
"disreputable",2
"disrespect",1
"disrobing",1
"dissatisfied",1
"dissect",1
"dissected",1
"dissembled",1
"dissembling",1
"dissemination",1
"dissension",2
"dissent",2
"dissenters",17
"dissenting",2
"dissertation",2
"dissimilar",2
"dissimulation",2
"dissimulations",1
"dissipated",4
"dissipating",2
"dissipation",8
"dissipations",1
"dissolution",1
"dissolve",6
"dissolved",7
"dissolves",1
"dissolving",2
"dissuade",1
"distance",111
"distanced",1
"distances",4
"distant",34
"distantly",1
"distaste",1
"distasteful",3
"distemper",3
"distend",1
"distended",2
"distends",1
"distention",1
"dister",1
"distilled",2
"distillers",4
"distinct",12
"distinction",6
"distinctions",1
"distinctive",1
"distinctly",8
"distinctness",1
"distinguish",15
"distinguishable",5
"distinguished",36
"distinguishes",1
"distinguishing",1
"distort",1
"distorted",3
"distortion",1
"distortions",1
"distract",1
"distracted",4
"distracting",1
"distraction",1
"distraught",2
"distress",40
"distressed",9
"distressedly",1
"distresses",5
"distressful",1
"distressing",2
"distribute",1
"distributed",5
"distributes",1
"distribution",2
"distributions",1
"distributors",1
"district",3
"districts",3
"distrust",5
"distrustful",1
"disturb",14
"disturbance",4
"disturbed",24
"disturbing",2
"disunited",1
"dit",3
"ditch",4
"ditches",1
"dition",7
"ditties",1
"ditty",1
"divan",2
"divans",1
"dive",3
"dived",1
"diverged",1
"divers",9
"diversified",3
"diversion",4
"diversions",2
"diversity",5
"divert",6
"diverted",4
"diverting",2
"divertingly",1
"divertissement",1
"diverts",1
"divest",1
"divested",3
"divi",1
"divid",1
"divide",13
"divided",33
"divides",3
"dividing",5
"divination",1
"divined",6
"divinely",2
"divines",1
"divinities",1
"divinity",11
"divinized",1
"divisions",3
"divorce",1
"divulge",1
"divulged",1
"divulges",1
"dizzy",4
"dl",11
"dlr",1
"doating",1
"docility",1
"dock",14
"docket",1
"docks",6
"doctors",7
"doctrinaire",1
"doctrine",6
"doctrines",18
"document",1
"dodged",1
"dodging",1
"does",341
"doeskin",3
"doesn",20
"doffed",2
"dog",65
"dogged",2
"doggedly",2
"dogma",1
"dogmatic",1
"doh",1
"doing",100
"doings",3
"dolefully",1
"dolent",1
"doles",1
"dollars",106
"dolor",1
"dolt",1
"dom",19
"domains",2
"dome",5
"domes",2
"domestic",18
"domesticated",1
"domestics",4
"domicil",1
"domiciled",3
"dominant",4
"dominate",1
"dominated",1
"domination",1
"domineer",1
"domineering",1
"dominion",2
"dominions",3
"donation",1
"done",411
"donkey",2
"donned",7
"donning",1
"dont",2
"dook",1
"dool",1
"doom",7
"doomed",6
"door",381
"doors",37
"doorstep",1
"doorway",18
"doped",1
"dormant",2
"dormitory",1
"dose",7
"dosed",1
"doses",3
"dost",1
"doth",15
"dother",1
"doting",1
"dotted",4
"dotting",1
"double",68
"doubled",9
"doubles",3
"doubling",4
"doubly",5
"doubt",106
"doubted",14
"doubtedly",1
"doubtful",10
"doubtfully",3
"doubting",2
"doubtless",13
"doubts",8
"dough",18
"doughnuts",1
"dour",6
"dowdy",1
"downcast",2
"downstairs",3
"downtown",3
"downward",14
"downwards",15
"downy",5
"dowry",2
"doze",1
"dozed",6
"dozen",52
"dozens",3
"dozing",1
"drachm",1
"drachms",8
"draft",1
"drafted",3
"drag",8
"dragged",8
"dragging",3
"dragons",1
"dragoons",3
"drags",1
"drail",1
"drained",5
"draining",2
"drakes",1
"drama",5
"dramatic",7
"dramatically",2
"dramatist",1
"drammer",1
"drams",4
"drank",22
"draped",6
"draperies",5
"drapery",4
"draping",2
"drastic",1
"draught",5
"draw",101
"drawback",3
"drawer",2
"drawers",5
"drawing",68
"drawings",9
"drawled",2
"drawling",1
"drawn",90
"draws",15
"dread",30
"dreaded",18
"dreadful",29
"dreadfully",2
"dreamed",42
"dreamily",7
"dreaminess",3
"dreaming",13
"dreamland",4
"dreamless",2
"dreamlike",1
"dreamy",6
"drearier",1
"dreariest",1
"drearily",1
"dreariness",1
"dreary",29
"dreed",1
"dregs",1
"drench",1
"dress",183
"dressed",68
"dresses",9
"dressing",23
"dressmaker",1
"drest",3
"dried",103
"drier",1
"dries",3
"drift",6
"drifted",13
"drifts",2
"drill",9
"drilled",1
"drilling",1
"drills",2
"drink",87
"drinkables",1
"drinker",1
"drinking",28
"drinks",3
"drip",2
"dripped",3
"dripping",46
"drive",38
"driven",23
"driver",8
"drives",3
"driving",13
"drizzled",1
"droll",1
"droning",1
"droop",11
"drooped",4
"drooping",13
"droops",1
"drop",59
"dropped",55
"dropping",12
"drops",20
"dross",3
"drought",1
"drove",21
"drown",8
"drownded",1
"drowned",16
"drowning",11
"drowsily",2
"drowsiness",2
"drowsy",6
"drudge",17
"drudgery",3
"drudges",1
"drugs",3
"drum",22
"drumheads",1
"drummed",2
"drummer",3
"drummers",2
"drumming",1
"drunk",20
"drunkard",5
"drunkards",1
"drunken",6
"dryer",1
"dryest",1
"drying",6
"dryly",2
"dryness",1
"dual",1
"dubbed",2
"dubious",3
"dubiously",1
"ducats",1
"duces",1
"duci",1
"ducks",26
"duct",2
"dude",1
"due",80
"duel",1
"duennas",1
"dues",1
"duet",4
"duets",1
"duffer",1
"dug",12
"dukely",1
"dukes",2
"dulcet",3
"dull",32
"dullest",3
"dullness",2
"dully",1
"dulness",1
"dult",1
"duly",8
"dumb",7
"dumbbells",1
"dumfounded",2
"dump",2
"dumped",1
"dumpling",5
"dumplings",12
"dune",2
"dung",7
"dungeon",4
"dunno",2
"duo",1
"dup",1
"dupe",4
"dupes",2
"duple",1
"duplicate",2
"duplicity",4
"dura",1
"durable",1
"duration",11
"dure",4
"during",193
"dusk",9
"dusky",59
"dusted",1
"duties",57
"dutiful",1
"duty",109
"dwell",11
"dweller",1
"dwellers",1
"dwelling",16
"dwellings",2
"dwells",6
"dwelt",3
"dwindles",1
"dwindling",1
"dye",19
"dyed",4
"dyes",1
"dying",45
"dyked",1
"dynamite",1
"dysentery",2
"dyspepsia",1
"each",519
"ead",7
"eager",39
"eagerly",57
"eagerness",12
"eagles",1
"ean",3
"ear",69
"eared",1
"earlier",13
"earliest",7
"earls",1
"earned",6
"earners",1
"earnest",43
"earnestly",35
"earnestness",8
"earning",2
"earnings",2
"earns",1
"earrings",1
"ears",70
"earshot",1
"earthen",42
"earthenware",1
"earthly",10
"earthquake",1
"earthquakes",4
"earthward",1
"earthwork",1
"earwigs",1
"ease",42
"eased",2
"easels",1
"eases",2
"easier",12
"easiest",2
"easily",108
"easiness",5
"eastward",8
"easy",86
"eat",198
"eatable",2
"eatables",3
"eaten",32
"eater",2
"eaters",1
"eath",1
"eating",43
"eats",29
"eave",1
"eaved",1
"ebb",2
"ebbed",1
"ebbing",2
"eccentric",4
"eccentricities",2
"ecclesiastic",2
"ecclesiastical",6
"echoed",16
"echoes",3
"echoing",6
"eclat",3
"eclipse",1
"econ",1
"economic",2
"economical",1
"economically",1
"economize",1
"ecstasy",1
"ecstatic",1
"ecstatically",1
"ed",161
"eddies",1
"edged",8
"edges",41
"edgeways",1
"edgewise",2
"edible",1
"edibles",2
"edification",1
"edifice",4
"edifices",3
"edify",1
"edifying",1
"edited",1
"edition",15
"editions",4
"editor",15
"editorial",4
"editorials",2
"editors",1
"educated",26
"educational",1
"educator",2
"ee",10
"eels",44
"een",1
"eery",1
"eff",1
"efface",1
"effaced",1
"effect",74
"effecting",2
"effective",4
"effectively",1
"effects",35
"effectual",3
"effectually",4
"effervescent",1
"effet",8
"efficacious",2
"efficacy",3
"efficient",3
"effigy",2
"effort",50
"efforts",33
"effrontery",1
"effulgence",1
"effulgent",1
"effusion",1
"effusions",3
"effusive",1
"effusively",1
"effusiveness",1
"eft",7
"egg",171
"eggs",510
"egotism",3
"egotistical",1
"egregious",1
"egregiously",1
"egrets",1
"egyptians",2
"eh",21
"eider",1
"eigh",4
"eight",204
"eighteen",24
"eighteenth",1
"eighth",7
"eighths",1
"eighty",5
"eir",1
"either",232
"ejaculated",2
"ejaculation",2
"ejaculations",1
"eke",2
"el",37
"elaborate",12
"elaborated",1
"elaborately",1
"elaboration",1
"elapse",1
"elapsed",8
"elastic",3
"elate",1
"elated",5
"elation",1
"elbow",8
"elbowed",2
"elbowing",1
"elbows",5
"elderberry",1
"elderly",9
"elders",2
"eldest",1
"eldritch",1
"elec",1
"elect",1
"elected",13
"election",4
"elective",1
"elector",1
"electors",1
"electric",9
"electricity",5
"electro",1
"elegance",17
"elegancies",1
"elegant",26
"elegantly",7
"elegy",1
"element",9
"elemental",1
"elements",12
"elephant",1
"elevated",12
"elevates",1
"elevating",1
"elevation",3
"elevator",4
"eleven",42
"eleventh",3
"elicit",1
"eliciting",2
"eligible",1
"elimination",1
"elite",1
"elixir",1
"elliptical",2
"elms",2
"elocution",1
"elongate",2
"elongated",3
"eloquence",18
"eloquent",4
"eloquently",1
"els",5
"elsewhere",11
"elucidating",1
"elude",3
"eluded",1
"elusive",2
"embattled",1
"embellish",4
"embellished",1
"embellishments",1
"ember",1
"embers",4
"embittered",1
"emblazoned",4
"emblem",2
"embodied",3
"embodiment",1
"emboldened",1
"embowering",1
"embrace",14
"embraced",5
"embraces",1
"embracing",3
"embroider",1
"embroidered",4
"embroidery",2
"emer",1
"emerged",11
"emergency",4
"emerges",1
"emerging",2
"emetic",1
"emigrants",1
"emigrate",4
"emigrated",1
"emigration",2
"emigrations",1
"eminent",12
"eminently",2
"emit",2
"emits",1
"emitting",1
"emoluments",1
"emotion",26
"emotionless",1
"emotions",20
"emperor",10
"emperors",1
"emphasis",1
"emphasize",2
"emphasized",2
"emphatic",1
"emphatical",1
"emphatically",5
"employ",12
"employed",31
"employee",1
"employer",1
"employes",1
"employing",2
"employment",16
"employments",1
"employs",4
"emptied",4
"empties",2
"empty",48
"emptying",1
"emulated",1
"emulation",1
"en",124
"enable",7
"enabled",14
"enables",2
"enabling",1
"enacted",4
"enactment",1
"enamel",4
"enameled",1
"enamelled",1
"enamored",1
"enamoured",1
"enc",1
"encamped",4
"encased",1
"encasing",1
"ence",28
"enchained",1
"enchains",2
"enchant",3
"enchanted",4
"enchanting",7
"enchantment",8
"enchantments",1
"enchantress",1
"encircle",2
"encircled",9
"encircling",6
"enclose",3
"enclosed",3
"enclosing",1
"enclosure",4
"encomiums",1
"encompass",1
"encompassed",4
"encore",3
"encored",1
"encores",1
"encounter",10
"encountered",4
"encountering",1
"encounters",4
"encourage",7
"encouraged",10
"encouragement",6
"encourages",1
"encouraging",2
"encouragingly",2
"encrease",1
"encroachment",1
"encrusted",3
"encumber",1
"encumbered",2
"encumbers",1
"ency",1
"encyclopedia",1
"end",337
"endanger",3
"endangering",1
"endear",1
"endearing",6
"endearment",1
"endeavored",1
"endeavoring",1
"endeavour",14
"endeavoured",7
"endeavouring",2
"ended",27
"ending",9
"endings",1
"endive",17
"endless",16
"endow",4
"endowed",8
"endowing",1
"endowments",6
"ends",52
"endued",2
"endurable",1
"endurance",4
"endure",33
"endured",9
"endures",1
"enduring",3
"ene",2
"ened",14
"enemies",29
"enemy",33
"energetic",2
"energetically",2
"energies",2
"energy",12
"enervating",1
"enew",1
"enfold",2
"enforce",6
"enforced",2
"engage",14
"engaged",56
"engagement",29
"engagements",3
"engages",3
"engaging",11
"engendered",1
"engenders",1
"engine",10
"engineer",18
"engineering",1
"engineers",9
"engines",1
"engraved",5
"engraven",1
"engraving",1
"engravings",3
"engross",1
"engrossed",2
"engrossing",2
"enhance",3
"enhanced",3
"enjoin",2
"enjoined",1
"enjoy",62
"enjoyable",2
"enjoyed",34
"enjoying",5
"enjoyment",13
"enjoyments",8
"enjoys",8
"enl",1
"enlarge",4
"enlarged",6
"enlargement",1
"enlarges",1
"enlarging",1
"enlight",1
"enlighten",2
"enlightened",7
"enlightening",1
"enlist",3
"enlisted",7
"enlisting",1
"enlistment",3
"enliven",3
"enlivened",2
"enlivening",3
"enmeshed",1
"enmity",4
"ennobled",2
"ennobles",1
"ennobling",1
"ennui",2
"enormity",1
"enormous",12
"enormously",1
"enough",612
"enquire",7
"enquired",5
"enquirer",1
"enquires",2
"enquiries",4
"enquiring",5
"enquiry",6
"enraged",9
"enrapture",1
"enraptured",3
"enrich",2
"enriched",1
"enriches",2
"enrollment",1
"ensconced",4
"ensembles",1
"enshrined",1
"ensnare",1
"ensnared",1
"ensue",3
"ensued",4
"ensuing",4
"ensure",1
"ensures",1
"ent",27
"entailed",2
"entangled",2
"entangling",1
"enter",60
"entered",156
"entering",16
"enterprize",1
"enters",13
"entertain",20
"entertained",14
"entertaining",15
"entertainingly",1
"entertainment",19
"entertainments",3
"enthrall",1
"enthralled",3
"enthroned",1
"enthuse",2
"enthusiasm",18
"enthusiast",3
"enthusiastic",13
"enthusiastically",5
"enthusiasts",2
"entice",4
"enticed",1
"entire",49
"entirely",107
"entitled",3
"entitles",1
"entity",3
"entrails",3
"entrance",26
"entranced",8
"entrancing",3
"entreat",3
"entreated",3
"entreaties",2
"entreatingly",1
"entreats",1
"entreaty",4
"entrenched",1
"entrusted",3
"entry",4
"enumerate",2
"enumerated",2
"enumerates",1
"enumerating",1
"enunciation",1
"envelope",11
"enveloped",6
"enveloping",1
"envenomed",3
"enviable",4
"envied",8
"envies",2
"envious",2
"environment",3
"environments",1
"environs",2
"envy",36
"enwrapped",2
"eon",1
"eons",1
"eous",2
"epi",4
"epicure",1
"epicures",1
"epidemic",3
"epidemics",1
"epidermis",1
"epigram",1
"epigrams",1
"epilepsy",2
"epileptic",1
"epiphytes",1
"episode",11
"episodes",1
"epithet",2
"epithets",1
"epitome",1
"epoch",3
"equal",81
"equaled",2
"equalled",1
"equally",62
"equals",5
"equanimity",1
"equator",10
"equilibrium",1
"equip",2
"equipage",8
"equipages",4
"equipment",3
"equipoise",2
"equivalent",3
"equivocal",1
"er",159
"eradicate",1
"eradicated",2
"eral",8
"erase",2
"eraser",1
"erect",13
"erected",7
"erection",1
"erects",1
"erf",1
"erg",1
"eringo",1
"erk",1
"ermined",1
"erotic",1
"erotylid",1
"err",3
"errand",10
"errands",5
"erratic",1
"erred",1
"erring",2
"erroneous",2
"error",19
"errors",8
"errs",1
"erudite",1
"erudition",2
"eruptions",1
"ery",19
"es",83
"escapade",1
"escape",61
"escaped",21
"escapes",4
"escaping",4
"eschewed",1
"escort",2
"escorted",2
"escorting",1
"escorts",1
"esculent",1
"eses",1
"especial",11
"especially",98
"espied",1
"esplanade",2
"espouse",1
"ess",3
"essay",3
"essays",1
"essence",10
"essences",2
"essential",9
"essentially",4
"est",21
"estab",1
"establish",5
"established",10
"establishing",3
"estate",20
"estates",11
"esteem",32
"esteemed",26
"esteeming",1
"estimable",2
"estimate",12
"estimated",6
"estimating",2
"estimation",10
"et",70
"etched",1
"etcher",1
"etchings",1
"eternal",52
"eternally",5
"eternity",16
"ether",3
"ethereal",1
"etherial",1
"etherialized",1
"ethical",2
"ethnological",2
"ethnology",5
"etiquette",3
"etude",3
"ety",3
"eulogium",1
"eulogize",1
"eulogy",1
"euripus",1
"europeans",3
"evacuations",1
"evade",3
"evaded",1
"evades",1
"evading",1
"evanishment",1
"evaporated",2
"evasive",1
"evasively",2
"evened",2
"evening",263
"evenings",19
"evenly",2
"evenness",2
"event",45
"eventful",5
"eventide",1
"events",40
"eventually",6
"ever",568
"evergreens",1
"everlasting",5
"evermore",1
"every",883
"everybody",37
"everyday",3
"everyone",2
"everything",130
"everywhere",18
"eves",9
"evidence",30
"evidenced",2
"evidences",4
"evident",38
"evidently",45
"evil",85
"evils",14
"evince",2
"evinced",5
"evincing",2
"evolution",3
"evolutions",1
"evolve",3
"evolved",4
"exact",13
"exacting",2
"exactly",51
"exactness",3
"exaggerated",1
"exaggeration",1
"exalt",3
"exaltation",4
"exalted",17
"exalts",2
"exam",3
"examination",20
"examinations",1
"examine",11
"examined",16
"examines",2
"examining",7
"example",26
"examples",4
"exams",1
"exceed",8
"exceeded",3
"exceeding",19
"exceedingly",30
"exceeds",4
"excel",13
"excelled",2
"excellencies",5
"excellent",46
"excelling",1
"excels",5
"except",90
"excepted",9
"excepting",9
"exception",9
"exceptionally",2
"exceptions",3
"excess",11
"excesses",2
"excessive",6
"excessively",1
"exchange",19
"exchanged",3
"exchanges",1
"exchanging",1
"excise",1
"excite",15
"excited",37
"excitedly",13
"excitement",25
"excitements",1
"excites",5
"exciting",5
"excl",1
"exclaim",11
"exclaimed",74
"exclaiming",5
"exclaims",1
"exclamation",5
"exclamations",7
"exclude",4
"excluded",7
"excludes",2
"exclusion",1
"exclusive",4
"excrescences",1
"excruciating",1
"exculpate",1
"exculpated",1
"excursion",7
"excursionists",1
"excursions",4
"excursive",1
"excuse",48
"excused",4
"excuses",5
"excusing",1
"execrable",2
"execrate",1
"execrated",1
"execute",1
"executed",4
"execution",17
"executioner",1
"executive",14
"exemplified",2
"exempt",2
"exempted",1
"exemption",3
"exercise",33
"exercised",3
"exercises",9
"exercising",1
"exert",6
"exerted",5
"exerting",1
"exertion",6
"exertions",6
"exerts",3
"exhale",2
"exhaled",1
"exhaust",2
"exhausted",17
"exhaustible",1
"exhaustion",6
"exhaustively",1
"exhausts",1
"exhibit",17
"exhibited",6
"exhibiting",3
"exhibition",7
"exhibitors",1
"exhibits",7
"exhilarating",2
"exhilaration",2
"exhort",3
"exhortation",3
"exhortations",1
"exigencies",3
"exigency",1
"exiled",1
"exist",38
"existed",5
"existence",66
"existent",1
"existing",6
"exists",8
"exit",1
"exotic",1
"exp",1
"expand",6
"expanded",3
"expands",3
"expanse",2
"expansion",1
"expansive",1
"expatiate",1
"expect",52
"expectancy",2
"expectant",3
"expectantly",1
"expectation",12
"expectations",11
"expected",61
"expectedly",1
"expecting",16
"expectorating",1
"expects",3
"expedience",3
"expedient",3
"expedients",1
"expedition",10
"expeditions",6
"expeditious",2
"expelled",1
"expended",2
"expenditure",1
"expense",12
"expenses",9
"expensive",8
"experience",92
"experienced",14
"experiences",15
"experiencing",1
"experiment",14
"experimental",3
"experimentalist",1
"experiments",1
"expert",4
"experts",3
"expiate",1
"expiation",1
"expiration",2
"expired",4
"expires",2
"expiring",2
"explain",50
"explained",26
"explaining",4
"explains",2
"explanation",22
"explanations",2
"explanatory",8
"explicit",2
"exploded",4
"exploit",2
"exploits",2
"exploration",3
"explorations",4
"explore",4
"explored",2
"explorers",3
"exploring",3
"explosion",3
"explosions",1
"explosive",1
"exported",1
"exporting",1
"expos",2
"expose",8
"exposed",21
"exposes",4
"exposing",7
"exposition",22
"expositions",1
"expostulated",2
"expostulation",1
"exposure",3
"expounder",1
"express",37
"expressed",25
"expresses",8
"expressibly",1
"expressing",6
"expression",57
"expressionless",1
"expressions",4
"expressive",4
"expressly",2
"expressman",1
"expunging",1
"expurgate",1
"exquisite",35
"exquisitely",4
"extant",1
"extemporary",1
"extemporized",2
"extend",9
"extended",32
"extending",5
"extends",9
"extension",2
"extensive",24
"extensively",2
"extent",31
"extenuates",1
"exter",5
"exterior",3
"exteriorly",1
"exterminate",1
"extermination",1
"external",19
"extinction",2
"extinguish",1
